Name,Manufacturer Name,Product Family Name,Product Name,Software Acquisition Method,GUID,Description,Link 1
CollabNet AnkhSVN,CollabNet,,AnkhSVN,Commercial-off-the-Shelf (COTS),6efae520-a885-11e3-74c2-005056975ac8,Subversion source control provider for Microsoft Visual Studio,https://www.collab.net/
CollabNet Subversion Edge,CollabNet,,Subversion Edge,Commercial-off-the-Shelf (COTS),9cb55580-98e1-11e3-74c2-005056975ac8,,https://www.collab.net/products/subversion
CORPTAX Office (Corptax Office),CORPTAX,,Office (Corptax Office),Commercial-off-the-Shelf (COTS),747580d0-f0a4-11e7-4383-005056bd33fb,,https://corptax.com/
Crestron Electronics Fusion RV (RoomView),Crestron Electronics,,Fusion RV (RoomView),Commercial-off-the-Shelf (COTS),d5d65660-7ee2-11e4-74c2-005056975ac8,"The AV and technology management component of Crestron Fusion . View room status, track maintenance on devices, schedule end-of-day shutdown, book meetings in rooms, provide remote help desk assistance, capture and distribute multimedia presentations...",https://www.crestron.com/
Crestron Electronics Studio,Crestron Electronics,,Studio,Commercial-off-the-Shelf (COTS),df6bc2d5-c0af-11e6-2a04-005056976851,Unified programming and GUI Design platform.,https://www.crestron.com/
Crestron Electronics Toolbox,Crestron Electronics,,Toolbox,Commercial-off-the-Shelf (COTS),b3a6a9c1-c0b0-11e6-2a04-005056976851,Configuration and diagnostics applications for Crestron devices.,https://www.crestron.com/
CyberArk Application Identity Manager (AIM),CyberArk,,Application Identity Manager (AIM),Commercial-off-the-Shelf (COTS),fab698b0-f246-11e3-74c2-005056975ac8,Eliminates hardcoded passwords.,https://www.cyberark.com/
DataGroomr DataGroomr,DataGroomr,,DataGroomr,Commercial-off-the-Shelf (COTS),6c1b6370-c489-11eb-678f-005056bd83df,Salesforce data deduplication.,https://datagroomr.com/
DataRobot DataRobot Cloud,DataRobot,,DataRobot Cloud,Commercial-off-the-Shelf (COTS),9b2c6a90-e11d-11e7-4383-005056bd33fb,AI-driven Data Analysis and Machine Learning platform.,https://www.datarobot.com/
Datawatch Monarch,Datawatch,,Monarch,Commercial-off-the-Shelf (COTS),0d665440-730a-11ec-0bfe-005056bd83df,"Monarch is a Windows-based Report Mining tool, providing data acquisition and business intelligence for everyone in the organization. Once Monarch has mined desired data from reports, PDFs and other sources, end users can then easily analyze the data, including sorting and filtering data; creating new calculated fields; summarizing data with subtotals and grand totals and automatic graphs; and, at any time, export data to MS Excel, Access, and a wide variety of other file formats.",https://www.altair.com/monarch/
Didier Stevens PDF Tools,Didier Stevens,,PDF Tools,Commercial-off-the-Shelf (COTS),78e96e00-83d8-11ea-4383-005056bd33fb,,http://didierstevenslabs.com/products.html
Docker Docker,Docker,,Docker,Commercial-off-the-Shelf (COTS),8cdd5091-15e1-11e9-4383-005056bd33fb,,https://www.docker.com
Don HO Notepad++,Don HO,,Notepad++,Commercial-off-the-Shelf (COTS),a0583ae1-d439-11e6-2a04-005056976851,Source code and text editor,https://notepad-plus-plus.org/
Dynatrace dynaTrace,Dynatrace,,dynaTrace,Commercial-off-the-Shelf (COTS),5ac19a30-e934-11ea-4383-005056bd33fb,Application Performance Monitoring (APM),www.dynatrace.com
"Eclipse Foundation, The IDE (Eclipse IDE)","Eclipse Foundation, The",,IDE (Eclipse IDE),Commercial-off-the-Shelf (COTS),1cda6ba0-5e18-11e4-74c2-005056975ac8,"The essential tools for any Java developer, including a Java IDE, a CVS client, Git client, XML Editor, Mylyn, Maven integration and WindowBuilder",https://www.eclipse.org/ide/
Enghouse Interactive Communications Center,Enghouse Interactive,,Communications Center,Commercial-off-the-Shelf (COTS),299784b0-838d-11e3-74c2-005056975ac8,Contact Center platform,http://www.enghouseinteractive.com
Enghouse Interactive Communications Portal (CP),Enghouse Interactive,,Communications Portal (CP),Commercial-off-the-Shelf (COTS),422b1d21-689f-11e7-2a04-005056976851,"Self-service platform - IVR, speech recognition, touch-tone, etc.",http://www.enghouseinteractive.com
Enghouse Interactive Enghouse Contact Center (CCE),Enghouse Interactive,,Enghouse Contact Center (CCE),Commercial-off-the-Shelf (COTS),0bb63750-67a4-11ea-4383-005056bd33fb,"Enghouse Interactive’s Contact Center: Enterprise or CCE (formerly Syntellect CIM) is a highly adaptable, omni-channel platform that enables contact centers to deliver a superior customer experience, ensuring the customer reaches the right resource anytime, anywhere, and anyhow. A data-driven, omni-channel routing engine delivers customer interactions to a unified queue giving agents comprehensive access to the entire customer interaction lifecycle—past, present, and future—across all communication channels, increasing agent productivity and effectiveness as well as improving overall contact center performance. With its distributed, highly scalable and resilient architecture, enterprises have the flexibility to deploy CCE on premise, in the cloud, or via a hybrid configuration. CCE is built for optimizing costs and meeting your enterprise contact center needs as your business grows.",http://www.enghouseinteractive.com
erwin Data Modeler,erwin,,Data Modeler,Commercial-off-the-Shelf (COTS),54096500-a887-11e3-74c2-005056975ac8,Data modeling software,https://erwin.com
EXLService Holdings LifePRO,EXLService Holdings,,LifePRO,Commercial-off-the-Shelf (COTS),cc265d40-8460-11e3-74c2-005056975ac8,Administers Life Products for the Life Division. ,https://www.exlservice.com/
F5 Networks Edge Client,F5 Networks,BIG-IP,Edge Client,Commercial-off-the-Shelf (COTS),beb002b1-74ff-11ea-4383-005056bd33fb,,https://www.f5.com/
Facebook Facebook,Facebook,,Facebook,Commercial-off-the-Shelf (COTS),4918a541-3600-11e5-2a04-005056976851,Social networking channel.,https://www.facebook.com/amfidelity
Flight Tax Systems Flight Tax Systems,Flight Tax Systems,,Flight Tax Systems ,Commercial-off-the-Shelf (COTS),10e09660-426d-11e4-74c2-005056975ac8,Website based software to computer the personal use of company airplances and cost disallowance for income taxes of company airplanes..,https://flighttaxsystems.com/
FreshBooks FreshBooks,FreshBooks,,FreshBooks,Commercial-off-the-Shelf (COTS),c609cef0-daca-11e7-4383-005056bd33fb,,https://www.freshbooks.com/
